#name	species	assembly
[Candida] arabinofermentans NRRL YB-2248 (GCA_001661425)	_candida_arabinofermentans_nrrl_yb_2248_gca_001661425	Canar1
[Candida] auris str. 6684 (GCA_001189475)	_candida_auris_gca_001189475	ASM118947v1
[Candida] auris (GCA_002759435)	_candida_auris_gca_002759435	Cand_auris_B8441_V2
[Candida] auris (GCA_002775015)	_candida_auris_gca_002775015	Cand_auris_B11221_V1
[Candida] auris (GCA_003013715)	_candida_auris_gca_003013715	Cand_auris_B11220
[Candida] auris (GCA_003014415)	_candida_auris_gca_003014415	Cand_auris_B11243
[Candida] duobushaemulonis str. B09383 (GCA_002926085)	_candida_duobushaemulonis_gca_002926085	CanDuoHae_v1.0
[Candida] glabrata str. CBS138 (GCA_000002545)	_candida_glabrata_gca_000002545	ASM254v2
[Candida] glabrata (GCA_001466525)	_candida_glabrata_gca_001466525	ASM146652v1
[Candida] glabrata (GCA_001466535)	_candida_glabrata_gca_001466535	ASM146653v1
[Candida] glabrata (GCA_001466565)	_candida_glabrata_gca_001466565	ASM146656v1
[Candida] glabrata (GCA_001466575)	_candida_glabrata_gca_001466575	ASM146657v1
[Candida] glabrata (GCA_001466635)	_candida_glabrata_gca_001466635	ASM146663v1
[Candida] glabrata (GCA_001466685)	_candida_glabrata_gca_001466685	ASM146668v1
[Candida] glabrata (GCA_002219185)	_candida_glabrata_gca_002219185	ASM221918v1
[Candida] glabrata (GCA_002219195)	_candida_glabrata_gca_002219195	ASM221919v1
[Candida] haemulonis str. B11899 (GCA_002926055)	_candida_haemulonis_gca_002926055	CanHae_1.0
[Candida] intermedia (GCA_900106115)	_candida_intermedia_gca_900106115	CBS 141442 assembly
[Candida] intermedia (GCA_900106125)	_candida_intermedia_gca_900106125	PYCC 4715 assembly
[Candida] pseudohaemulonis str. B12108 (GCA_003013735)	_candida_pseudohaemulonis_gca_003013735	Cand_pseudohaemulonii_B12108
[Candida] tenuis ATCC 10573 (GCA_000223465)	_candida_tenuis_atcc_10573_gca_000223465	Candida tenuis v1.0
Absidia glauca	absidia_glauca_gca_900079185	AG_v1
Absidia repens str. NRRL 1336	absidia_repens_gca_002105175	Absrep1
Acaromyces ingoldii str. MCA 4198 (GCA_003144295)	acaromyces_ingoldii_gca_003144295	Acain1
Acidomyces richmondensis BFW (GCA_001592465)	acidomyces_richmondensis_bfw_gca_001592465	Acidomyces richmondensis BFW v1.0
Acidomyces richmondensis (GCA_001572075)	acidomyces_richmondensis_gca_001572075	ASM157207v1
Acremonium chrysogenum ATCC 11550 (GCA_000769265)	acremonium_chrysogenum_atcc_11550_gca_000769265	ASM76926v1
Agaricus bisporus var. burnettii JB137-S8 (GCA_000300555)	agaricus_bisporus_var_burnettii_jb137_s8_gca_000300555	Agabi_varbur_1
Allomyces macrogynus ATCC 38327 (GCA_000151295)	allomyces_macrogynus_atcc_38327_gca_000151295	A_macrogynus_V3
Alternaria alternata str. SRC1lrK2f (GCA_001642055)	alternaria_alternata_gca_001642055	Altal1
Amanita muscaria Koide BX008 (GCA_000827485)	amanita_muscaria_koide_bx008_gca_000827485	Amanita muscaria Koide BX008 v1.0
Amanita thiersii Skay4041 (GCA_002554575)	amanita_thiersii_skay4041_gca_002554575	Amanita thiersii v1.0
Amorphotheca resinae ATCC 22711 (GCA_003019875)	amorphotheca_resinae_atcc_22711_gca_003019875	Amore1
Amphiamblys sp. WSBS2006 (GCA_001875675)	amphiamblys_sp_wsbs2006_gca_001875675	ASM187567v1
Anaeromyces robustus str. S4 (GCA_002104895)	anaeromyces_robustus_gca_002104895	Anaeromyces sp. S4 v1.0
Anncaliia algerae PRA109 (GCA_000385855)	anncaliia_algerae_pra109_gca_000385855	Annc_alge_PRA109_V4
Anncaliia algerae PRA339 (GCA_000385875)	anncaliia_algerae_pra339_gca_000385875	Annc_alge_insect_USDA_JJB_V2
Anthracocystis flocculosa PF-1 (GCA_000417875)	anthracocystis_flocculosa_pf_1_gca_000417875	Pflocc_1.0
Armillaria gallica str. Ar21-2 (GCA_002307695)	armillaria_gallica_gca_002307695	Armga1
Armillaria ostoyae (GCA_900157425)	armillaria_ostoyae_gca_900157425	version 2
Armillaria solidipes str. 28-4 (GCA_002307675)	armillaria_solidipes_gca_002307675	Armost1
Arthrobotrys oligospora ATCC 24927 (GCA_000225545)	arthrobotrys_oligospora_atcc_24927_gca_000225545	AOL24927 1.0
Ascochyta rabiei str. ArDII (GCA_001630375)	ascochyta_rabiei_gca_001630375	AscRab1.0
Ascoidea rubescens DSM 1968 (GCA_001661345)	ascoidea_rubescens_dsm_1968_gca_001661345	Ascru1
Ascosphaera apis ARSEF 7405 (GCA_001636715)	ascosphaera_apis_arsef_7405_gca_001636715	AAP 1.0
Ashbya gossypii	ashbya_gossypii	ASM9102v1
Aspergillus aculeatinus CBS 121060 (GCA_003184765)	aspergillus_aculeatinus_cbs_121060_gca_003184765	Aspacu1
Aspergillus aculeatus ATCC 16872 (GCA_001890905)	aspergillus_aculeatus_atcc_16872_gca_001890905	Aspac1
Aspergillus arachidicola str. CBS 117610 (GCA_002749805)	aspergillus_arachidicola_gca_002749805	ASM274980v1
Aspergillus bombycis str. NRRL26010 (GCA_001792695)	aspergillus_bombycis_gca_001792695	ASM179269v1
Aspergillus brasiliensis CBS 101740 (GCA_001889945)	aspergillus_brasiliensis_cbs_101740_gca_001889945	Aspbr1
Aspergillus brunneoviolaceus CBS 621.78 (GCA_003184695)	aspergillus_brunneoviolaceus_cbs_621_78_gca_003184695	Aspbru1
Aspergillus calidoustus str. SF006504 (GCA_001511075)	aspergillus_calidoustus_gca_001511075	Acal_Allpaths_LG
Aspergillus campestris IBT 28561 (GCA_002847485)	aspergillus_campestris_ibt_28561_gca_002847485	Aspcam1
Aspergillus candidus str. CBS 102.13 (GCA_002847045)	aspergillus_candidus_gca_002847045	Aspcand1
Aspergillus carbonarius ITEM 5010 (GCA_001990825)	aspergillus_carbonarius_item_5010_gca_001990825	Aspca3
Aspergillus clavatus NRRL 1	aspergillus_clavatus	ASM271v1
Aspergillus cristatus str. GZAAS20.1005 (GCA_001717485)	aspergillus_cristatus_gca_001717485	ASM171748v1
Aspergillus ellipticus CBS 707.79 (GCA_003184645)	aspergillus_ellipticus_cbs_707_79_gca_003184645	Aspell1
Aspergillus eucalypticola CBS 122712 (GCA_003184535)	aspergillus_eucalypticola_cbs_122712_gca_003184535	Aspeuc1
Aspergillus flavus NRRL3357	aspergillus_flavus	JCVI-afl1-v2.0
Aspergillus flavus AF70 (GCA_000952835)	aspergillus_flavus_af70_gca_000952835	ASM95283v1
Aspergillus fumigatus Af293	aspergillus_fumigatus	ASM265v1
Aspergillus fumigatus (GCA_002234985)	aspergillus_fumigatus_gca_002234985	ASM223498v1
Aspergillus fumigatus var. RP-2014 (GCA_000731615)	aspergillus_fumigatus_var_rp_2014_gca_000731615	AspFumNiv1.0
Aspergillus fumigatus Z5 (GCA_001029325)	aspergillus_fumigatus_z5_gca_001029325	ASM102932v1
Aspergillus fumigatus A1163	aspergillus_fumigatusa1163	ASM15014v1
Aspergillus glaucus CBS 516.65 (GCA_001890805)	aspergillus_glaucus_cbs_516_65_gca_001890805	Aspgl1
Aspergillus heteromorphus CBS 117.55 (GCA_003184545)	aspergillus_heteromorphus_cbs_117_55_gca_003184545	Asphet1
Aspergillus indologenus CBS 114.80 (GCA_003184685)	aspergillus_indologenus_cbs_114_80_gca_003184685	Aspind1
Aspergillus japonicus CBS 114.51 (GCA_003184785)	aspergillus_japonicus_cbs_114_51_gca_003184785	Aspjap1
Aspergillus lacticoffeatus CBS 101883 (GCA_003184595)	aspergillus_lacticoffeatus_cbs_101883_gca_003184595	Asplac1
Aspergillus lentulus (GCA_001445615)	aspergillus_lentulus_gca_001445615	Alt_assembly01
Aspergillus luchuensis CBS 106.47 (GCA_001890685)	aspergillus_luchuensis_cbs_106_47_gca_001890685	Aspfo1
Aspergillus luchuensis str. RIB 2604 (GCA_001602395)	aspergillus_luchuensis_gca_001602395	AspL_2604
Aspergillus neoniger CBS 115656 (GCA_003184625)	aspergillus_neoniger_cbs_115656_gca_003184625	Aspneo1
Aspergillus nidulans	aspergillus_nidulans	ASM1142v1
Aspergillus nidulans FGSC A4 (GCA_000149205)	aspergillus_nidulans_fgsc_a4_gca_000149205	ASM14920v2
Aspergillus niger	aspergillus_niger	ASM285v2
Aspergillus niger ATCC 1015 (GCA_000230395)	aspergillus_niger_atcc_1015_gca_000230395	ASPNI v3.0
Aspergillus niger (GCA_001515345)	aspergillus_niger_gca_001515345	ASM151534v1
Aspergillus niger (GCA_900248155)	aspergillus_niger_gca_900248155	Aniger_ATCC 64974_N402
Aspergillus nomius NRRL 13137 (GCA_001204775)	aspergillus_nomius_nrrl_13137_gca_001204775	ASM120477v1
Aspergillus novofumigatus IBT 16806 (GCA_002847465)	aspergillus_novofumigatus_ibt_16806_gca_002847465	Aspnov1
Aspergillus ochraceoroseus str. SRRC1432 (GCA_000986665)	aspergillus_ochraceoroseus_gca_000986665	ASM98666v1
Aspergillus ochraceoroseus IBT 24754 (GCA_002846915)	aspergillus_ochraceoroseus_ibt_24754_gca_002846915	Aspergillus ochraceoroseus IBT 24754 v1.1
Aspergillus oryzae RIB40	aspergillus_oryzae	ASM18445v3
Aspergillus oryzae 100-8 (GCA_000691885)	aspergillus_oryzae_100_8_gca_000691885	Aspergillus oryzae 100-8
Aspergillus oryzae 3.042 (GCA_000269785)	aspergillus_oryzae_3_042_gca_000269785	AspOry3042
Aspergillus oryzae str. BCC7051 (GCA_002007945)	aspergillus_oryzae_gca_002007945	ASM200794v1
Aspergillus parasiticus SU-1 (GCA_000956085)	aspergillus_parasiticus_su_1_gca_000956085	ASM95608v1
Aspergillus piperis CBS 112811 (GCA_003184755)	aspergillus_piperis_cbs_112811_gca_003184755	Asppip1
Aspergillus rambellii str. SRRC1468 (GCA_000986645)	aspergillus_rambellii_gca_000986645	ASM98664v1
Aspergillus ruber CBS 135680 (GCA_000600275)	aspergillus_ruber_cbs_135680_gca_000600275	Eurhe1
Aspergillus saccharolyticus JOP 1030-1 (GCA_003184585)	aspergillus_saccharolyticus_jop_1030_1_gca_003184585	Aspsac1
Aspergillus sclerotiicarbonarius CBS 121057 (GCA_003184635)	aspergillus_sclerotiicarbonarius_cbs_121057_gca_003184635	Aspscle1
Aspergillus sclerotioniger CBS 115572 (GCA_003184525)	aspergillus_sclerotioniger_cbs_115572_gca_003184525	Aspscl1
Aspergillus steynii IBT 23096 (GCA_002849105)	aspergillus_steynii_ibt_23096_gca_002849105	Aspste1
Aspergillus sydowii CBS 593.65 (GCA_001890705)	aspergillus_sydowii_cbs_593_65_gca_001890705	Aspsy1
Aspergillus taichungensis str. IBT 19404 (GCA_002850765)	aspergillus_taichungensis_gca_002850765	Asptaic1
Aspergillus terreus NIH2624	aspergillus_terreus	ASM14961v1
Aspergillus thermomutatus (GCA_002237265)	aspergillus_thermomutatus_gca_002237265	ASM223726v1
Aspergillus tubingensis CBS 134.48 (GCA_001890745)	aspergillus_tubingensis_cbs_134_48_gca_001890745	Asptu1
Aspergillus turcosus (GCA_002234965)	aspergillus_turcosus_gca_002234965	ASM223496v1
Aspergillus turcosus (GCA_002234975)	aspergillus_turcosus_gca_002234975	ASM223497v1
Aspergillus udagawae str. IFM 46973 (GCA_001078395)	aspergillus_udagawae_gca_001078395	Aud_assembly01
Aspergillus ustus str. 3.3904 (GCA_000812125)	aspergillus_ustus_gca_000812125	Austus1.0
Aspergillus uvarum CBS 121591 (GCA_003184745)	aspergillus_uvarum_cbs_121591_gca_003184745	Aspuva1
Aspergillus vadensis CBS 113365 (GCA_003184925)	aspergillus_vadensis_cbs_113365_gca_003184925	Aspvad1
Aspergillus versicolor CBS 583.65 (GCA_001890125)	aspergillus_versicolor_cbs_583_65_gca_001890125	Aspve1
Aspergillus violaceofuscus CBS 115571 (GCA_003184705)	aspergillus_violaceofuscus_cbs_115571_gca_003184705	Aspvio1
Aspergillus wentii DTO 134E9 (GCA_001890725)	aspergillus_wentii_dto_134e9_gca_001890725	Aspwe1
Aureobasidium melanogenum CBS 110374 (GCA_000721775)	aureobasidium_melanogenum_cbs_110374_gca_000721775	Aureobasidium pullulans var. melanogenum CBS 110374 v1.0
Aureobasidium namibiae CBS 147.97 (GCA_000721765)	aureobasidium_namibiae_cbs_147_97_gca_000721765	Aureobasidium pullulans var. namibiae CBS 147.97 v1.0
Aureobasidium pullulans EXF-150 (GCA_000721785)	aureobasidium_pullulans_exf_150_gca_000721785	Aureobasidium pullulans var. pullulans EXF-150, assembly version 1.0
Aureobasidium pullulans (GCA_001678115)	aureobasidium_pullulans_gca_001678115	ASM167811v1
Aureobasidium subglaciale EXF-2481 (GCA_000721755)	aureobasidium_subglaciale_exf_2481_gca_000721755	Aureobasidium pullulans var. subglaciale EXF-2481 v1.0
Babjeviella inositovora NRRL Y-12698 (GCA_001661335)	babjeviella_inositovora_nrrl_y_12698_gca_001661335	Babin1
Basidiobolus meristosporus CBS 931.73 (GCA_002104905)	basidiobolus_meristosporus_cbs_931_73_gca_002104905	Basme2finSC
Batrachochytrium dendrobatidis JAM81 (GCA_000203795)	batrachochytrium_dendrobatidis_jam81_gca_000203795	v1.0
Batrachochytrium dendrobatidis JEL423 (GCA_000149865)	batrachochytrium_dendrobatidis_jel423_gca_000149865	BD_JEL423
Batrachochytrium salamandrivorans str. BS (GCA_002006685)	batrachochytrium_salamandrivorans_gca_002006685	Batr_sala_BS_V1
Baudoinia panamericana UAMH 10762 (GCA_000338955)	baudoinia_panamericana_uamh_10762_gca_000338955	Bauco1
Beauveria bassiana	beauveria_bassiana	ASM168263v1
Beauveria bassiana ARSEF 2860 (GCA_000280675)	beauveria_bassiana_arsef_2860_gca_000280675	ASM28067v1
Beauveria bassiana D1-5 (GCA_000770705)	beauveria_bassiana_d1_5_gca_000770705	BBA1.0
Beauveria bassiana str. JEF-007 (GCA_002871155)	beauveria_bassiana_gca_002871155	ASM287115v1
Bifiguratus adelaidae str. AZ0501	bifiguratus_adelaidae_gca_002261195	ASM226119v1
