#name	species	assembly
Acyrthosiphon pisum	acyrthosiphon_pisum	Acyr_2.0
Adineta vaga	adineta_vaga	AMS_PRJEB1171_v1
Aedes aegypti	aedes_aegypti	AaegL3
Amphimedon queenslandica	amphimedon_queenslandica	Aqu1
Anopheles darlingi	anopheles_darlingi	AdarC3
Anopheles gambiae	anopheles_gambiae	AgamP4
Anoplophora glabripennis	anoplophora_glabripennis	Agla_1.0
Apis mellifera	apis_mellifera	Amel_4.5
Atta cephalotes	atta_cephalotes	Attacep1.0
Belgica antarctica	belgica_antarctica	ASM77530v1
Bombus impatiens	bombus_impatiens	BIMP_2.0
Bombus terrestris	bombus_terrestris	Bter_1.0
Bombyx mori	bombyx_mori	ASM15162v1
Branchiostoma lanceolatum	branchiostoma_lanceolatum	BraLan2
Brugia malayi	brugia_malayi	Bmal-4.0
Caenorhabditis brenneri	caenorhabditis_brenneri	C_brenneri-6.0.1b
Caenorhabditis briggsae	caenorhabditis_briggsae	CB4
Caenorhabditis elegans	caenorhabditis_elegans	WBcel235
Caenorhabditis japonica	caenorhabditis_japonica	C_japonica-7.0.1
Caenorhabditis remanei	caenorhabditis_remanei	C_remanei-15.0.1
Capitella teleta	capitella_teleta	Capitella teleta v1.0
Crassostrea gigas	crassostrea_gigas	oyster_v9
Culex quinquefasciatus	culex_quinquefasciatus	CpipJ2
Culicoides sonorensis	culicoides_sonorensis	Cson1
Danaus plexippus	danaus_plexippus	Dpv3
Daphnia magna	daphnia_magna	daphmag2.4
Daphnia pulex	daphnia_pulex	V1.0
Dendroctonus ponderosae	dendroctonus_ponderosae	DendPond_male_1.0
Dinothrombium tinctorium	dinothrombium_tinctorium	DtinU1
Drosophila ananassae	drosophila_ananassae	dana_caf1
Drosophila erecta	drosophila_erecta	dere_caf1
Drosophila grimshawi	drosophila_grimshawi	dgri_caf1
Drosophila melanogaster	drosophila_melanogaster	BDGP6.22
Drosophila mojavensis	drosophila_mojavensis	dmoj_caf1
Drosophila persimilis	drosophila_persimilis	dper_caf1
Drosophila pseudoobscura	drosophila_pseudoobscura	Dpse_3.0
Drosophila sechellia	drosophila_sechellia	dsec_caf1
Drosophila simulans	drosophila_simulans	ASM75419v3
Drosophila virilis	drosophila_virilis	dvir_caf1
Drosophila willistoni	drosophila_willistoni	dwil_caf1
Drosophila yakuba	drosophila_yakuba	dyak_caf1
Folsomia candida str. VU population	folsomia_candida	ASM221717v1
Heliconius melpomene	heliconius_melpomene	Hmel1
Helobdella robusta	helobdella_robusta	Helro1
Ixodes scapularis	ixodes_scapularis	IscaW1
Lepeophtheirus salmonis	lepeophtheirus_salmonis	LSalAtl2s
Leptotrombidium deliense	leptotrombidium_deliense	LdelU1
Lingula anatina	lingula_anatina	LinAna1.0
Loa loa	loa_loa	Loa_loa_V3
Lottia gigantea	lottia_gigantea	Lotgi1
Lucilia cuprina	lucilia_cuprina	ASM118794v1
Mayetiola destructor	mayetiola_destructor	Mdes_1.0
Megaselia scalaris	megaselia_scalaris	Msca1
Melitaea cinxia	melitaea_cinxia	MelCinx1.0
Mnemiopsis leidyi	mnemiopsis_leidyi	MneLei_Aug2011
Nasonia vitripennis	nasonia_vitripennis	Nvit_2.1
Nematostella vectensis	nematostella_vectensis	ASM20922v1
Octopus bimaculoides	octopus_bimaculoides	PRJNA270931
Onchocerca volvulus	onchocerca_volvulus	ASM49940v2
Orchesella cincta	orchesella_cincta	ASM171814v1
Pediculus humanus	pediculus_humanus	PhumU2
Pristionchus pacificus	pristionchus_pacificus	El_Paco
Rhodnius prolixus	rhodnius_prolixus	RproC3
Sarcoptes scabiei	sarcoptes_scabiei	SscaA1
Schistosoma mansoni	schistosoma_mansoni	ASM23792v2
Solenopsis invicta	solenopsis_invicta	Si_gnG
Stegodyphus mimosarum	stegodyphus_mimosarum	Stegodyphus_mimosarum_v1
Strigamia maritima	strigamia_maritima	Smar1
Strongylocentrotus purpuratus	strongylocentrotus_purpuratus	Spur_3.1
Strongyloides ratti	strongyloides_ratti	S_ratti_ED321_v5_0_4
Teleopsis dalmanni	teleopsis_dalmanni	Tel_dalmanni_2A_v1.0
Tetranychus urticae	tetranychus_urticae	ASM23943v1
Thelohanellus kitauei	thelohanellus_kitauei	ASM82789v1
Tribolium castaneum	tribolium_castaneum	Tcas5.2
Trichinella spiralis	trichinella_spiralis	Tspiralis1
Trichoplax adhaerens	trichoplax_adhaerens	ASM15027v1
Zootermopsis nevadensis	zootermopsis_nevadensis	ZooNev1.0
