#name	species	assembly
Actinidia chinensis	actinidia_chinensis	Red5_PS1_1.69.0
Aegilops tauschii	aegilops_tauschii	Aet v4.0
Amborella trichopoda	amborella_trichopoda	AMTR1.0
Arabidopsis halleri	arabidopsis_halleri	Ahal2.2
Arabidopsis lyrata	arabidopsis_lyrata	v.1.0
Arabidopsis thaliana	arabidopsis_thaliana	TAIR10
Beta vulgaris	beta_vulgaris	RefBeet-1.2.2
Brachypodium distachyon	brachypodium_distachyon	Brachypodium_distachyon_v3.0
Brassica napus	brassica_napus	AST_PRJEB5043_v1
Brassica oleracea	brassica_oleracea	BOL
Brassica rapa	brassica_rapa	Brapa_1.0
Chlamydomonas reinhardtii	chlamydomonas_reinhardtii	Chlamydomonas_reinhardtii_v5.5
Chondrus crispus	chondrus_crispus	ASM35022v2
Corchorus capsularis	corchorus_capsularis	CCACVL1_1.0
Cucumis sativus	cucumis_sativus	ASM407v2
Cyanidioschyzon merolae	cyanidioschyzon_merolae	ASM9120v1
Daucus carota	daucus_carota	ASM162521v1
Dioscorea rotundata	dioscorea_rotundata	TDr96_F1_Pseudo_Chromosome_v1.0
Galdieria sulphuraria	galdieria_sulphuraria	ASM34128v1
Glycine max	glycine_max	Glycine_max_v2.1
Gossypium raimondii	gossypium_raimondii	Graimondii2_0
Helianthus annuus	helianthus_annuus	HanXRQr1.0
Hordeum vulgare	hordeum_vulgare	IBSC v2
Leersia perrieri	leersia_perrieri	Lperr_V1.4
Lupinus angustifolius	lupinus_angustifolius	LupAngTanjil_v1.0
Manihot esculenta	manihot_esculenta	Manihot esculenta v6
Marchantia polymorpha	marchantia_polymorpha	Marchanta_polymorpha_v1
Medicago truncatula	medicago_truncatula	MedtrA17_4.0
Musa acuminata	musa_acuminata	ASM31385v1
Nicotiana attenuata	nicotiana_attenuata	NIATTr2
Oryza barthii	oryza_barthii	O.barthii_v1
Oryza brachyantha	oryza_brachyantha	Oryza_brachyantha.v1.4b
Oryza glaberrima	oryza_glaberrima	Oryza_glaberrima_V1
Oryza glumipatula	oryza_glumipatula	Oryza_glumaepatula_v1.5
Oryza sativa Indica Group	oryza_indica	ASM465v1
Oryza longistaminata	oryza_longistaminata	O_longistaminata_v1.0
Oryza meridionalis	oryza_meridionalis	Oryza_meridionalis_v1.3
Oryza nivara	oryza_nivara	Oryza_nivara_v1.0
Oryza punctata	oryza_punctata	Oryza_punctata_v1.2
Oryza rufipogon	oryza_rufipogon	OR_W1943
Oryza sativa Japonica Group	oryza_sativa	IRGSP-1.0
Ostreococcus lucimarinus	ostreococcus_lucimarinus	ASM9206v1
Panicum hallii FIL2	panicum_hallii_fil2	PHallii_v3.1
Panicum hallii HAL2	panicum_hallii_hal2	PhalliiHAL_v2.1
Phaseolus vulgaris	phaseolus_vulgaris	PhaVulg1_0
Physcomitrella patens	physcomitrella_patens	Phypa V3
Populus trichocarpa	populus_trichocarpa	Pop_tri_v3
Prunus persica	prunus_persica	Prunus_persica_NCBIv2
Selaginella moellendorffii	selaginella_moellendorffii	v1.0
Setaria italica	setaria_italica	Setaria_italica_v2.0
Solanum lycopersicum	solanum_lycopersicum	SL3.0
Solanum tuberosum	solanum_tuberosum	SolTub_3.0
Sorghum bicolor	sorghum_bicolor	Sorghum_bicolor_NCBIv3
Theobroma cacao	theobroma_cacao	Criollo_cocoa_genome_V2
Trifolium pratense	trifolium_pratense	Trpr
Triticum aestivum	triticum_aestivum	IWGSC
Triticum dicoccoides	triticum_dicoccoides	WEWSeq v.1.0
Triticum urartu	triticum_urartu	ASM34745v1
Vigna angularis	vigna_angularis	Vigan1.1
Vigna radiata	vigna_radiata	Vradiata_ver6
Vitis vinifera	vitis_vinifera	12X
Zea mays	zea_mays	B73 RefGen_v4
