#name	species	assembly
Acanthamoeba castellanii str. Neff	acanthamoeba_castellanii_str_neff_gca_000313135	Acastellanii.strNEFF v1
Achlya hypogyna str. ATCC 48635	achlya_hypogyna_gca_002081595	ACH_lane_v1
Albugo laibachii	albugo_laibachii	ENA1
Angomonas deanei	angomonas_deanei_gca_000442575	Angomonas deanei Genome
Aphanomyces astaci str. APO3	aphanomyces_astaci_gca_000520075	Apha_asta_APO3_V1
Aphanomyces astaci	aphanomyces_astaci_gca_002197585	ASM219758v2
Aphanomyces astaci	aphanomyces_astaci_gca_003546545	astaci_Si
Aphanomyces astaci	aphanomyces_astaci_gca_003546565	astaci_KV
Aphanomyces astaci	aphanomyces_astaci_gca_003546585	astaci_D2
Aphanomyces astaci	aphanomyces_astaci_gca_003546605	astaci_YX
Aphanomyces astaci	aphanomyces_astaci_gca_003546625	astaci_SA
Aphanomyces astaci	aphanomyces_astaci_gca_003546765	astaci_SV
Aphanomyces astaci	aphanomyces_astaci_gca_003546785	astaci_457
Aphanomyces astaci	aphanomyces_astaci_gca_003546805	astaci_197901
Aphanomyces astaci	aphanomyces_astaci_gca_003546825	Da
Aphanomyces astaci	aphanomyces_astaci_gca_003666305	astaci_KB13
Aphanomyces invadans str. NJM9701	aphanomyces_invadans_gca_000520115	Apha_inva_NJM9701_V1
Aphanomyces invadans	aphanomyces_invadans_gca_003546525	inv_NJM0002
Aureococcus anophagefferens	aureococcus_anophagefferens_gca_000186865	v 1.0
Babesia bigemina str. Bond	babesia_bigemina_gca_000981445	Bbig001
Babesia bovis str. T2Bo	babesia_bovis_gca_000165395	ASM16539v1
Babesia ovata str. Miyake	babesia_ovata_gca_002897235	Bovata_7.1
Babesia sp. Xinjiang	babesia_sp_xinjiang_gca_002095265	B_xinjiang1.0
Besnoitia besnoiti str. Bb-Ger1	besnoitia_besnoiti_gca_002563875	Bbes1.0
Bigelowiella natans	bigelowiella_natans	Bigna1
Blastocystis hominis str. Singapore isolate B (sub-type 7)	blastocystis_hominis_gca_000151665	ASM15166v1
Capsaspora owczarzaki ATCC 30864	capsaspora_owczarzaki_atcc_30864_gca_000151315	C_owczarzaki_V2
Cavenderia fasciculata str. SH3	cavenderia_fasciculata_gca_000203815	DFas_2.0
Chroomonas mesostigmatica CCMP1168	chroomonas_mesostigmatica_ccmp1168_gca_000286095	ASM28609v1
Cryptomonas paramecium str. CCAP977/2A	cryptomonas_paramecium_gca_000194455	ASM19445v1
