#name	species	assembly
Spiny chromis	acanthochromis_polyacanthus	ASM210954v1
Panda	ailuropoda_melanoleuca	ailMel1
Midas cichlid	amphilophus_citrinellus	Midas_v5
Clown anemonefish	amphiprion_ocellaris	AmpOce1.0
Orange clownfish	amphiprion_percula	Nemo_v1
Climbing perch	anabas_testudineus	fAnaTes1.1
Duck	anas_platyrhynchos_platyrhynchos	CAU_duck1.0
Anole lizard	anolis_carolinensis	AnoCar2.0
Pink-footed goose	anser_brachyrhynchus	ASM259213v1
Ma's night monkey	aotus_nancymaae	Anan_2.0
Great spotted kiwi	apteryx_haastii	aptHaa1
Little spotted kiwi	apteryx_owenii	aptOwe1
Okarito brown kiwi	apteryx_rowi	aptRow1
Eastern happy	astatotilapia_calliptera	fAstCal1.2
Mexican tetra	astyanax_mexicanus	Astyanax_mexicanus-2.0
American bison	bison_bison_bison	Bison_UMD1.0
Hybrid - Bos Indicus	bos_indicus_hybrid	UOA_Brahman_1
Wild yak	bos_mutus	BosGru_v2.0
Cow	bos_taurus	ARS-UCD1.2
Hybrid - Bos Taurus	bos_taurus_hybrid	UOA_Angus_1
Caenorhabditis elegans	caenorhabditis_elegans	WBcel235
Ruff	calidris_pugnax	ASM143184v1
Spoon-billed sandpiper	calidris_pygmaea	ASM369795v1
Marmoset	callithrix_jacchus	ASM275486v1
Elephant shark	callorhinchus_milii	Callorhinchus_milii-6.1.3
Dog	canis_familiaris	CanFam3.1
Dingo	canis_lupus_dingo	ASM325472v1
Goat	capra_hircus	ARS1
Tarsier	carlito_syrichta	Tarsius_syrichta-2.0.1
American beaver	castor_canadensis	C.can_genome_v1.0
Brazilian guinea pig	cavia_aperea	CavAp1.0
Guinea Pig	cavia_porcellus	Cavpor3.0
Capuchin	cebus_capucinus	Cebus_imitator-1.0
Sooty mangabey	cercocebus_atys	Caty_1.0
Abingdon island giant tortoise	chelonoidis_abingdonii	ASM359739v1
Long-tailed chinchilla	chinchilla_lanigera	ChiLan1.0
Vervet-AGM	chlorocebus_sabaeus	ChlSab1.1
Sloth	choloepus_hoffmanni	choHof1
Painted turtle	chrysemys_picta_bellii	Chrysemys_picta_bellii-3.0.3
C.intestinalis	ciona_intestinalis	KH
C.savignyi	ciona_savignyi	CSAV 2.0
Angola colobus	colobus_angolensis_palliatus	Cang.pa_1.0
Japanese quail	coturnix_japonica	Coturnix_japonica_2.0
Chinese hamster CHOK1GS	cricetulus_griseus_chok1gshd	CHOK1GS_HDv1
Chinese hamster CriGri	cricetulus_griseus_crigri	CriGri_1.0
Chinese hamster PICR	cricetulus_griseus_picr	CriGri-PICR
Australian saltwater crocodile	crocodylus_porosus	CroPor_comp1
Blue tit	cyanistes_caeruleus	cyaCae2
Tongue sole	cynoglossus_semilaevis	Cse_v1.0
Sheepshead minnow	cyprinodon_variegatus	C_variegatus-1.0
Zebrafish	danio_rerio	GRCz11
Armadillo	dasypus_novemcinctus	Dasnov3.0
Kangaroo rat	dipodomys_ordii	Dord_2.0
Emu	dromaius_novaehollandiae	droNov1
Drosophila melanogaster	drosophila_melanogaster	BDGP6.22
Lesser hedgehog tenrec	echinops_telfairi	TENREC
Electric eel	electrophorus_electricus	Ee_SOAP_WITH_SSPACE
Hagfish	eptatretus_burgeri	Eburgeri_3.2
Donkey	equus_asinus_asinus	ASM303372v1
Horse	equus_caballus	EquCab3.0
Hedgehog	erinaceus_europaeus	eriEur1
Northern pike	esox_lucius	Eluc_V3
Cat	felis_catus	Felis_catus_9.0
Flycatcher	ficedula_albicollis	FicAlb_1.4
Damara mole rat	fukomys_damarensis	DMR_v1.0
Mummichog	fundulus_heteroclitus	Fundulus_heteroclitus-3.0.2
Cod	gadus_morhua	gadMor1
